['13:41:18.818459', 'Face detecting properly.', 'Mouth Closed', [('person', 0.5654793381690979)]]
['13:42:27.659416', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7871344685554504)]]
['13:42:27.799895', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7887915372848511)]]
['13:42:27.941333', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8389895558357239)]]
['13:42:28.082171', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8040143847465515)]]
['13:42:28.221882', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8038634657859802)]]
['13:42:28.376037', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7394059896469116)]]
['13:42:28.530953', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8274099230766296)]]
['13:42:28.686275', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7541224956512451)]]
['13:42:28.842496', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8257624506950378)]]
['13:42:28.996078', 'Face detecting properly.', 'Mouth Closed', [('person', 0.773542582988739)]]
['13:42:29.137901', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8149446249008179)]]
['13:42:29.292889', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8407471179962158)]]
['13:42:29.449350', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8163190484046936)]]
['13:42:29.605373', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8890884518623352)]]
['13:42:29.745269', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8511082530021667)]]
['13:42:29.887194', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8421828150749207)]]
['13:42:30.026510', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7476505637168884)]]
['13:42:30.167920', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7391043305397034)]]
['13:42:30.321871', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7890620827674866)]]
['13:42:30.462187', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8079246282577515)]]
['13:42:30.619556', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7484208941459656)]]
['13:42:30.775797', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7975053787231445)]]
['13:42:30.931772', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7682663202285767)]]
['13:42:31.089629', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7945813536643982)]]
['13:42:35.427493', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7585508227348328)]]
['13:42:35.584751', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7895820140838623)]]
['13:42:35.724252', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7651346921920776)]]
['13:42:35.865305', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7874632477760315)]]
['13:42:36.007691', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7482072710990906)]]
['13:42:36.147620', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7489685416221619)]]
['13:42:36.302650', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7508010864257812)]]
['13:42:36.460457', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7713661789894104)]]
['13:42:36.616262', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7403926253318787)]]
['13:42:36.774211', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7458271384239197)]]
['13:42:36.927479', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8584766387939453)]]
['13:42:37.084333', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8587389588356018)]]
['13:42:37.224942', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8123412728309631)]]
['13:42:37.384929', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8453388810157776)]]
['13:42:37.539279', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7587829232215881)]]
['13:42:37.694790', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8657123446464539)]]
['13:42:37.833023', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8479738235473633)]]
['13:42:37.987640', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7684621810913086)]]
['13:42:38.129542', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7146755456924438)]]
['13:42:38.302877', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7103224992752075)]]
['13:42:38.491397', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6303504705429077)]]
['13:42:38.660314', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7640329003334045)]]
['13:42:38.864342', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8124474287033081)]]
['13:42:39.050599', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6579470038414001)]]
['13:42:39.189133', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8366298675537109)]]
['13:42:39.346018', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6592009663581848)]]
['13:42:39.502252', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7598514556884766)]]
['13:42:39.641379', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7119032740592957)]]
['13:42:39.782966', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7043420076370239)]]
['13:42:39.939478', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7902891635894775)]]
['13:42:40.145455', 'Face detecting properly.', 'Mouth Closed', [('person', 0.5729171633720398)]]
['13:42:40.301727', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6283356547355652)]]
['13:42:40.440449', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7897741198539734)]]
['13:42:40.594870', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8481917381286621)]]
['13:42:40.755504', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8789660930633545)]]
['13:42:40.955398', 'Face detecting properly.', 'Mouth Closed', [('person', 0.661394476890564)]]
['13:42:41.144098', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8266314268112183)]]
['13:42:41.298573', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8107149004936218)]]
['13:42:41.504083', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8277441263198853)]]
['13:42:41.689298', 'Face detecting properly.', 'Mouth Closed', [('person', 0.6934561133384705)]]
['13:42:41.862475', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8267126083374023)]]
['13:42:42.002267', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8414557576179504)]]
['13:42:42.142393', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8792831897735596)]]
['13:42:42.283454', 'Face detecting properly.', 'Mouth Closed', [('person', 0.8374215960502625)]]
['13:42:42.470491', 'Face detecting properly.', 'Mouth Closed', [('person', 0.7540777921676636)]]
